Gen Z,Regular English
I can't believe I rawdogged that exam.,I can't believe I went into that exam without studying.
"No cap, This guy is highkey excited today.","Honestly, this guy is really excited today."
He is bussin right now.,He's doing really well right now.
"Highkey, My friend is full of rizz for real.",My friend is definitely very charismatic.
"Lowkey, We are giving weird vibes for real.","Honestly, we're coming across as a bit strange."
"Lowkey, We are fire today.",We're pretty good today.
"Highkey, That girl is lowkey tired for real.",That girl is definitely a little tired.
I am bussin for real.,"Seriously, I'm doing really well."
"No cap, He is acting sus tbh.","Honestly, he's acting suspicious."
This guy is delulu today.,This guy is being unrealistic today.
"No cap, He is lowkey tired for real.","Honestly, he's a little tired."
"Lowkey, That girl is acting sus tbh.","To be honest, that girl is acting a little suspicious."
"Highkey, This guy is lowkey tired right now.",This guy is definitely a little tired right now.
"No cap, He is fire lately.","Honestly, he has been really good lately."
"Highkey, We are kinda mid tbh.","To be honest, we're definitely underwhelming."
"Lowkey, My friend is not it right now.",My friend is not that great right now.
"Lowkey, We are giving weird vibes right now.",We're coming across as a bit strange right now.
That girl is lowkey tired today.,That girl is a little tired today.
This guy is highkey excited right now.,This guy is really excited right now.
He is full of rizz lately.,He has been very charismatic lately.
"Lowkey, This guy is acting sus right now.",This guy is acting a little suspicious right now.
"No cap, This guy is lowkey tired tbh.","Honestly, this guy is a little tired."
"Lowkey, I am not it for real.","Honestly, I'm not that great."
"Highkey, He is highkey excited today.",He's definitely really excited today.
"No cap, This guy is kinda mid for real.","Honestly, this guy is kind of underwhelming."
"Lowkey, That girl is delulu for real.","Honestly, that girl is being a little unrealistic."
My friend is fire today.,My friend is really good today.
"Lowkey, She is lowkey tired today.",She's a little tired today.
"No cap, We are not it right now.","Honestly, we're not that great right now."
This guy is bussin lately.,This guy has been doing really well lately.
"Lowkey, My friend is full of rizz tbh.","To be honest, my friend is pretty charismatic."
I am highkey excited today.,I'm really excited today.
"No cap, My friend is fire tbh.","Honestly, my friend is really good."
"Lowkey, My friend is highkey excited right now.",My friend is pretty excited right now.
"Highkey, I am delulu for real.",I'm definitely being unrealistic.
We are full of rizz right now.,We're very charismatic right now.
This guy is not it lately.,This guy has not been that great lately.
"Lowkey, That girl is bussin for real.","Honestly, that girl is doing pretty well."
"Highkey, That girl is highkey excited tbh.","To be honest, that girl is definitely really excited."
"Highkey, He is acting sus lately.",He has definitely been acting suspicious lately.
"Highkey, We are giving weird vibes tbh.","To be honest, we're definitely coming across as strange."
"Lowkey, My friend is delulu tbh.","To be honest, my friend is being a little unrealistic."
"Lowkey, He is delulu lately.",He has been a little unrealistic lately.
